Date	Name	Email	Mobile	"Credit Card"	"Expiry Date"	MovieID	Day	Hour	"STA Qty"	"STP Qty"	"STC Qty"	"FCA Qty"	"FCP Qty"	"FCC Qty"	Total

"21/05/2020 08:24"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:29"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:44"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:46"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:46"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:46"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:46"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:46"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:46"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:47"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:47"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 08:49"	Abcde	abcde@mail.vn	"+614 12345678"	"05 78 5 489 622 11478514"	2027-09	AHF	FRI	T12	4	1	3	4	1	3	283.00
"21/05/2020 09:00"	Hellooooo	fromtheotherside@adele.us	"+614 12345777"	"123456 789 12300"	2030-01	AHF	SUN	T21	1	2	3				100.70
"21/05/2020 09:02"	Hellooooo	fromtheotherside@adele.us	"+614 12345777"	"123456 789 12300"	2030-01	AHF	SUN	T21	1	2	3				100.70
"21/05/2020 04:03"	Hellooooo	fromtheotherside@adele.us	"+614 12345777"	"123456 789 12300"	2030-01	AHF	SUN	T21	1	2	3				100.70
"21/05/2020 16:04"	Hellooooo	fromtheotherside@adele.us	"+614 12345777"	"123456 789 12300"	2030-01	AHF	SUN	T21	1	2	3				100.70
"21/05/2020 09:08"	Hellooooo	fromtheotherside@adele.us	"+614 12345777"	"123456 789 12300"	2030-01	AHF	SUN	T21	1	2	3				100.70
"21/05/2020 16:12"	Hellooooo	fromtheotherside@adele.us	"+614 12345777"	"123456 789 12300"	2030-01	AHF	SUN	T21	1	2	3				100.70
